Entity,Code,Year,Oil,Gas,Coal,Hydropower,Solar,Wind,Nuclear,Other renewables
Africa,,1965,341.07257,9.57193,323.49615,13.905635,0,0,0,0
Africa,,1966,369.46457,10.6980915,323.12222,15.510004,0,0,0,0
Africa,,1967,368.28156,10.573844,330.2916,16.190636,0,0,0,0
Africa,,1968,389.57162,10.717145,343.51288,18.938341,0,0,0,0
Africa,,1969,397.3726,12.520175,346.64288,22.10089,0,0,0,0
Africa,,1970,434.28757,15.5485,360.75693,27.63043,0,0,0,0
Africa,,1971,472.22516,18.405264,383.0123,26.013391,0,0,0,0.164
Africa,,1972,509.09583,24.670658,384.21082,29.633196,0,0,0,0.165
Africa,,1973,549.6427,39.551792,408.91034,31.345707,0,0,0,0.17
Africa,,1974,570.538,44.518486,425.6462,35.667076,0,0,0,0.175
Africa,,1975,598.6075,53.63838,451.0805,37.71797,0,0,0,0.172
Africa,,1976,651.3652,60.98139,481.07416,41.797634,0,0,0,0.185
Africa,,1977,692.9117,68.23419,491.69846,45.92877,0,0,0,0.189
Africa,,1978,730.7279,97.369896,477.8156,46.30694,0,0,0,0.195
Africa,,1979,770.22455,148.84282,507.24698,49.56523,0,0,0,0.201
Africa,,1980,818.9584,186.91397,543.55707,48.311783,0,0,0,0.207
Africa,,1981,887.7277,228.49115,635.79877,50.192905,0,0,0,0.218
Africa,,1982,930.6774,246.73354,701.17584,50.206238,0,0,0,0.236
Africa,,1983,964.2179,271.27536,713.2461,45.24716,0,0,0,0.23
Africa,,1984,978.6124,259.9028,762.8979,44.489975,0,0,3.925,0.234
Africa,,1985,1003.6883,278.84274,787.1659,49.449684,0,0,5.315,0.269
Africa,,1986,979.9832,313.27118,805.356,51.145374,0,0,8.803,0.659
Africa,,1987,1037.7959,323.38437,828.3197,49.05646,0,0,6.167,0.658
Africa,,1988,1081.3895,358.44455,890.1608,53.593456,0,0,10.493,0.626
Africa,,1989,1117.3824,371.47104,835.6209,56.276215,0,0,11.099,0.617
Africa,,1990,1138.2854,398.6454,877.6783,57.254658,0,0,8.449,0.80574995
Africa,,1991,1142.5394,401.6356,853.76215,60.65149,0,0,9.144,0.8217477
Africa,,1992,1162.5455,421.27026,858.8311,57.86029,0,0,9.288,0.85394657
Africa,,1993,1175.4089,412.64398,871.7139,56.682507,0,0.002,7.255,0.94937193
Africa,,1994,1213.8041,431.82797,894.4478,57.59605,0,0.0054,9.697,0.84669536
Africa,,1995,1253.9824,461.2435,922.4713,59.75028,0,0.0063,11.301,1.028464
Africa,,1996,1282.5608,484.19174,935.2283,62.29786,0,0.0071,11.775,1.2678369
Africa,,1997,1322.649,474.47556,959.0191,63.831898,0,0.0072,12.647,1.3963903
Africa,,1998,1351.2659,499.337,937.039,66.654884,0,0.0076,13.601,1.724236
Africa,,1999,1400.9159,504.01962,966.0107,70.684265,0,0.0198,12.837,1.7097833
Africa,,2000,1408.781,556.8223,963.7305,75.30208,0.012091,0.1755,13.01,2.2749128
Africa,,2001,1431.3003,634.63617,975.9263,80.910614,0.015053,0.41558,10.719,2.3482146
Africa,,2002,1465.1776,670.63605,934.42163,85.06818,0.016457712,0.443584,11.990999,2.3121176
